,Year,epiweek,Total_Rain,Total_Precip,Total_Snow,Outbreak,Salinity,Temperature,PAR,outbreak,WSPD,GSPD,V_east,V_north,WDIR,NVcount
129,2005,23,2.94,2.94,0,0,26.14,14.76,34.09,0,3.6,4.41,1.09,-0.77,125.24,2
130,2005,24,2.94,2.94,0,0,22.21,15.25,39.7,0,4.49,5.47,0.19,-0.62,162.96,1
131,2005,25,1.17,1.17,0,0,24.69,18.04,55.89,0,3.85,4.71,-1.38,1.19,-49.23,0
132,2005,26,1.45,1.45,0,0,25.65,16.87,48.41,0,4.61,5.52,1.49,-1.05,125.17,0
133,2005,27,3.09,3.09,0,0,26.31,15.61,31.64,0,5.54,6.67,3.57,-2.88,128.89,1
134,2005,28,1.47,1.47,0,0,25.28,16.44,44.87,0,4.35,5.21,-0.19,0.38,-26.57,0
135,2005,29,0,0,0,0,24.87,18.94,58.7,0,5.09,6.06,-2.87,2.28,-51.54,0
136,2005,30,0.03,0.03,0,0,25.32,18.23,50.64,0,4.89,5.79,-2.6,1.8,-55.3,0
137,2005,31,0.2,0.2,0,0,26.48,18.76,51.1,0,5.02,6,-2.19,1.32,-58.92,1
138,2005,32,0,0,0,0,26.59,18.88,52.55,0,3.81,4.55,-1.11,0.7,-57.76,0
139,2005,33,2.97,2.97,0,0,26.99,19.8,41.46,0,3.33,4.02,-0.62,0.54,-48.95,0
140,2005,34,0.22,0.22,0,0,26.91,18.48,41.7,0,4.29,5.18,-1.34,1.06,-51.65,0
141,2005,35,1.18,1.18,0,0,27.67,16.31,30.73,0,3.71,4.53,0.66,-0.09,97.77,1
142,2005,36,0.66,0.66,0,0,26.67,16.51,38.44,0,4.12,5.08,-2.04,2,-45.57,0
143,2005,37,0.81,0.81,0,0,27.94,16.41,31.69,0,2.75,3.32,-0.58,0.21,-70.1,0
144,2005,38,0.17,0.17,0,0,28.27,15.09,33.28,0,4.98,5.95,-2.21,1.5,-55.83,1
145,2005,39,2.69,2.69,0,0,28.08,14.13,23.22,0,4.45,5.46,0.28,-0.03,96.12,1
146,2005,40,2.75,2.75,0,0,29.2,11.67,15.25,0,4.94,5.99,3.24,-1.73,118.1,1
147,2005,41,7.3,7.3,0,0,29.8,11.29,12.98,0,5.65,6.89,4.03,-2.14,117.97,1
148,2005,42,4.45,4.45,0,0,27.68,11.54,7.91,0,3.89,4.72,0.8,0.07,85,0
149,2005,43,5.11,5.11,0,0,28.86,11.15,10.88,0,6.16,7.5,3.59,-3.09,130.72,0
150,2005,44,10.18,10.18,0,0,28.35,10.16,5.87,0,6.82,8.37,4.63,-3.11,123.89,0
151,2005,45,5.19,5.19,0,0,28.05,9.94,6.79,0,7.04,8.72,3.96,-2.92,126.4,2
152,2005,46,1.47,1.47,0,0,26.95,9.26,7.22,0,4.42,5.47,0.17,0.81,11.85,1
153,2005,47,1.5,1.54,0.04,0,26.86,8.81,5.83,0,4,5.2,-0.72,0.34,-64.72,2
154,2005,48,1.04,1.73,0.69,0,27.74,8.13,6.16,0,4.38,5.62,1.29,0.67,62.55,3
155,2005,49,0.35,0.35,0,0,27.68,7.71,3.34,0,2.95,3.79,0.77,-0.07,95.19,1
156,2005,50,0.16,0.16,0,0,27.6,7.6,6.62,0,2.75,3.57,-0.73,1.4,-27.54,5
157,2005,51,17.35,17.39,0.04,0,27.52,8.22,2.69,0,6.66,8.22,4.8,-2.67,119.08,4
158,2005,52,9.84,9.87,0.03,0,27.7,9.14,3.39,0,8.1,9.89,5.27,-3.02,119.82,3
159,2006,1,11.1,11.1,0,0,27.09,8.48,3.26,0,7.81,9.63,5.77,-3.34,120.06,4
160,2006,2,13.45,13.45,0,0,26.79,8.41,3.89,0,6.9,8.48,4.67,-2.31,116.32,4
161,2006,3,7.94,7.94,0,0,26.18,7.96,5.86,0,5.92,7.3,2.95,-1.36,114.75,5
162,2006,4,4.95,4.95,0,0,27.09,8.31,5.81,0,6.59,8.05,4.43,-3.28,126.52,8
163,2006,5,16.67,16.67,0,0,27.01,8.14,4.84,0,7.1,8.85,4.61,-3.07,123.66,5
164,2006,6,0.31,0.31,0,0,25.41,7.73,12.88,0,3.62,4.47,-0.84,0.92,-42.4,5
165,2006,7,0.56,0.56,0,0,26.96,7.35,17.9,0,5.19,6.43,-2,2.87,-34.87,2
166,2006,8,0.93,1.32,0.39,0,27.19,6.72,14.19,0,3.74,4.77,-1.38,1.2,-48.99,5
167,2006,9,4.8,4.85,0.06,0,27.31,7.22,12.8,0,6.07,7.52,2.24,-0.2,95.1,7
168,2006,10,5.81,6.14,0.33,0,27.73,7.68,17.47,0,5.94,7.43,2.05,-1.28,121.98,3
169,2006,11,2.04,2.04,0,0,27.61,7.96,21.29,0,6.51,7.93,1.87,-0.7,110.52,10
170,2006,12,5.74,5.74,0,0,27.79,7.97,22.16,0,5.82,7.16,2.33,-1.81,127.84,7
171,2006,13,2.89,2.89,0,0,28.07,8.74,24.74,0,4.32,5.21,0.88,-0.68,127.69,8
172,2006,14,0.78,0.78,0,0,27.87,9.08,28.42,0,4.04,4.88,-0.44,-0.02,-92.6,11
173,2006,15,4.11,4.11,0,0,27.78,9.52,25.71,0,5.14,6.32,2.16,-1.43,123.51,6
174,2006,16,2.37,2.37,0,0,27.45,8.94,31.08,0,6.5,7.86,1.49,-1.36,132.39,15
175,2006,17,0.71,0.71,0,0,27.26,10.23,36.09,0,4.26,5.09,-0.4,0.33,-50.48,15
176,2006,18,0.51,0.51,0,0,27.36,10.23,49.03,0,4.71,5.7,-2.63,2.1,-51.39,9
177,2006,19,0.21,0.21,0,0,28.24,12.03,49.6,0,4.58,5.61,-1.64,1.09,-56.39,11
178,2006,20,0,0,0,0,27.44,13.62,53.24,0,3.8,4.5,-1.31,0.69,-62.22,5
179,2006,21,5.65,5.65,0,0,28.04,12.8,37.46,0,5.09,6.11,2.79,-2.76,134.69,13
180,2006,22,1.67,1.67,0,0,27.18,12.88,42.3,0,4.6,5.54,2.64,-2.64,135,3
181,2006,23,2.4,2.4,0,0,25.22,16.12,50.89,0,3.54,4.27,-0.01,0.39,-1.47,5
182,2006,24,0.72,0.72,0,0,25.46,15.61,44.4,0,4.56,5.44,2.97,-2.49,129.98,4
183,2006,25,0.05,0.05,0,0,23.37,17.41,58.14,0,3.62,4.44,-1.66,1.11,-56.23,3
184,2006,26,0,0,0,0,23.88,18.12,62.4,0,5.37,6.31,-3.35,2.5,-53.27,6
185,2006,27,0.12,0.12,0,0,26.91,17.14,49.91,0,4.22,5.02,1.74,-1.38,128.42,3
186,2006,28,1.73,1.73,0,0,25.51,16.31,43.14,0,5.51,6.59,1.34,-1.64,140.75,0
187,2006,29,0,0,0,0,24.5,18.76,54.78,0,3.35,3.95,-1.21,0.47,-68.77,4
188,2006,30,0.19,0.19,0,0,26.4,19.85,54.22,0,5.89,6.95,-2.17,2.54,-40.51,3
189,2006,31,0.2,0.2,0,0,27.01,17.91,51.58,0,4.04,4.87,-1.68,1.53,-47.68,2
190,2006,32,0.59,0.59,0,0,27.27,18.02,45.03,0,3.82,4.61,-0.64,0.6,-46.85,5
191,2006,33,0,0,0,0,27.32,18.52,50.29,0,5.12,6.03,-2.75,2.43,-48.54,2
192,2006,34,0,0,0,0,27.8,18.02,46,0,3.85,4.53,-1.73,0.89,-62.78,5
193,2006,35,0.64,0.64,0,0,28.03,17.37,41.36,0,4.06,4.85,-2.49,1.55,-58.1,2
194,2006,36,1.18,1.18,0,0,28.12,17.99,39,0,3.56,4.2,-1.8,0.98,-61.43,2
195,2006,37,0.44,0.44,0,0,28.16,15.95,31.68,0,4.2,5.04,-0.78,0.52,-56.31,6
196,2006,38,4.66,4.66,0,0,28.46,13.88,24.38,0,6.46,7.8,3.58,-1.59,113.95,3
197,2006,39,0,0,0,0,28.65,14.32,30.39,0,3.12,3.73,-2.27,1.32,-59.82,1
198,2006,40,0.95,0.95,0,0,28.17,14.25,25.75,0,5.07,6,-3.84,2.63,-55.59,4
199,2006,41,1.05,1.05,0,0,28.55,12.98,23.25,0,2.92,3.52,-1.39,0.99,-54.54,3
200,2006,42,3.05,3.05,0,0,28.79,11.82,15.47,0,4.44,5.4,0.46,0.29,57.77,2
201,2006,43,2.26,2.26,0,0,28.89,10.91,9.55,0,5.47,6.73,1.56,-0.14,95.13,5
202,2006,44,10.12,10.12,0,0,28.4,10.28,11.17,0,4.92,6.2,-0.15,1.29,-6.63,2
203,2006,45,10.48,10.48,0,0,27.5,10.14,7.89,0,5.29,6.62,2.24,-1.91,130.45,6
204,2006,46,16.47,16.47,0,0,27.98,8.93,3.83,0,8.74,10.76,4.89,-3.58,126.21,5
205,2006,47,10.01,11.08,1.06,0,27.47,8.59,4.21,0,6.88,8.57,2.83,-2.69,133.55,4
206,2006,48,0.26,4.95,4.7,0,27.72,6.88,4.82,0,5.58,7.18,0.83,0.88,43.33,6
207,2006,49,3.09,3.09,0,0,28.11,7.87,2.86,0,3.85,4.85,2.66,-1.22,114.64,8
208,2006,50,15.7,16.42,0.72,0,27.79,8.18,3.46,0,7.85,9.73,4.39,-2.38,118.46,7
209,2006,51,8.9,8.98,0.08,0,27.73,7.77,2.67,0,7.98,9.85,5.86,-3.23,118.86,15
210,2006,52,5.5,5.5,0,0,28.01,7.57,3.97,0,7.25,8.86,1.94,-0.85,113.66,10
211,2007,1,12.96,12.96,0,0,27.39,7.61,4.61,0,6.88,8.56,2.56,-1.19,114.93,21
212,2007,2,4.55,5.65,1.1,0,26.01,6.53,5.32,0,6.86,8.71,0.9,0.28,72.72,7
213,2007,3,4.67,4.89,0.22,0,27.26,6.67,4.28,0,5.42,6.73,3.87,-1.53,111.57,8
214,2007,4,3.76,3.76,0,0,27.22,7.03,6.45,0,6.27,7.6,3.23,-0.78,103.58,12
215,2007,5,1.12,1.12,0,0.43,26.42,6.33,9.23,0.43,2.64,3.67,-1.06,0.9,-49.67,9
216,2007,6,4.45,4.45,0,1,27.18,7.1,5.91,1,3.11,3.83,1.38,-0.26,100.67,9
217,2007,7,4.45,4.45,0,1,27.47,7.69,8.78,1,5.72,6.97,4.13,-1.61,111.3,18
218,2007,8,3.83,4.01,0.18,1,28.02,7.62,10.61,1,6.51,8.1,4.06,-2.97,126.19,11
219,2007,9,2.56,3.02,0.46,0.57,27.35,7.55,13.06,0.57,6.27,7.72,3.13,-0.41,97.46,8
220,2007,10,7.64,7.64,0,0,27.45,7.7,11.12,0,6.73,8.2,4.81,-3.11,122.89,14
221,2007,11,5.92,5.92,0,0,27.6,7.84,15.45,0,6.45,7.86,3.3,-1.65,116.57,1
222,2007,12,4.19,4.19,0,0,27.58,8.18,16.35,0,7.44,9.02,4.62,-1.66,109.76,6
223,2007,13,0.13,0.13,0,0,26.51,8.27,27.3,0,5.92,7.15,-0.28,0.63,-23.96,9
224,2007,14,0.87,0.87,0,1,27.14,8.82,24.82,1,3.36,4.22,-1.33,1.12,-49.9,4
225,2007,15,5.62,5.62,0,1,27.41,8.79,23.88,1,5.7,7.06,3.08,-1.48,115.67,6
226,2007,16,2.72,2.72,0,1,27.63,9.15,35.01,1,4,4.94,1.22,-0.25,101.58,11
227,2007,17,2.86,2.86,0,1,27.13,9.87,32.28,1,5.87,7.11,3.68,-1.9,117.31,2
228,2007,18,1.71,1.71,0,0.29,26.92,10.94,40.73,0.29,4.99,6.05,1.22,-0.71,120.2,4
229,2007,19,0.32,0.32,0,0,27.08,11.26,43.75,0,5.78,6.84,-0.53,0.83,-32.56,3
230,2007,20,1.56,1.56,0,0,26.81,12.91,44.97,0,3.84,4.63,1.19,-1.39,139.43,6
231,2007,21,0.7,0.7,0,0,26.58,12.85,45.13,0,3.54,4.3,1.2,-1.47,140.77,2
232,2007,22,0,0,0,0,24.71,16.12,58.49,0,3.14,3.86,-1.51,1.07,-54.68,5
233,2007,23,3.69,3.69,0,0,25.19,15.61,38.07,0,4.47,5.51,0.82,-0.93,138.6,3
234,2007,24,1.94,1.94,0,0,24.15,14.18,46.04,0,4.85,5.86,2.7,-1.87,124.71,1
235,2007,25,1.32,1.32,0,0,24.37,14.35,47.71,0,5.42,6.47,2.87,-2.78,134.09,2
236,2007,26,2.37,2.37,0,0,23.83,15.68,40.17,0,3.97,4.91,2.24,-1.8,128.78,1
237,2007,27,0.38,0.38,0,0,21.56,16.94,51.9,0,4.21,5.05,-1.14,0.84,-53.62,0
238,2007,28,0.15,0.15,0,0,23.66,18.77,52.88,0,4.82,5.71,-1.29,0.6,-65.06,2
239,2007,29,5.05,5.05,0,0,25.43,16.52,30.97,0,4.72,5.69,2.53,-2.05,129.02,2
240,2007,30,0.56,0.56,0,0,24.58,16.03,45.99,0,5.07,6.09,1.71,-1.33,127.87,1
241,2007,31,0,0,0,0,22.49,18.08,52.2,0,4.47,5.39,-2.02,1.52,-53.04,0
242,2007,32,1.02,1.02,0,0,23.97,18.07,41.47,0,4.22,5.06,-0.14,0.04,-74.05,1
243,2007,33,1.9,1.9,0,0,25.58,17.23,38.63,0,3.8,4.61,-0.26,0,-90,0
